Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
3,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
4,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
7,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
8,Falha,0,6,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Falha,0,0,4,"{""media"": 0.8448275862068965}"
10,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
11,Falha,0,0,4,"{""media"": 0.8448275862068965}"
12,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
14,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
15,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
16,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
17,Falha,1,0,6,"{""media"": 0.7352941176470588}"
18,Falha,0,502,4,"{""media"": 0.7352941176470588}"
19,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
20,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
21,Falha,0,246,4,"{""media"": 0.7352941176470588}"
22,Falha,0,0,4,"{""media"": 0.8448275862068965}"
23,Falha,0,0,4,"{""media"": 0.8448275862068965}"
24,Falha,1,0,6,"{""media"": 0.8448275862068965}"
25,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
26,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
27,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
28,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
29,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
30,Falha,0,0,4,"{""media"": 0.7352941176470588}"
31,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
32,Sucesso,2,0,6,"{""media"": 0.7479196556671447}"
33,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
34,Falha,0,6,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
35,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
36,Falha,0,22,8,"{""media"": 0.7352941176470588}"
37,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
38,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
39,Falha,0,0,4,"{""media"": 0.8448275862068965}"
40,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
41,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
42,Falha,0,0,4,"{""media"": 0.7352941176470588}"
43,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
44,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
