Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
2,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
3,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
4,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
5,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
6,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
7,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
8,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
9,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
10,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
11,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
12,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
13,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
14,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
15,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
16,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
17,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
18,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
19,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
20,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
21,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
22,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
23,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
24,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
25,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
26,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
27,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
28,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
29,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
